Symbol,Action,Qty,Price,Date,Trade_ID
WALCHANNAG,SELL,33,168.32,2026-02-16,604625744.0
WALCHANNAG,SELL,13,168.32,2026-02-16,604625745.0
HDFCBANK,SELL,5,927.65,2026-02-16,205998884.0
BSE,BUY,10,2808.6,2026-02-16,768443.0
ANGELONE,BUY,1,2553.4,2026-02-16,722019.0
HINDCOPPER,BUY,60,589.4,2026-02-13,211921128.0
APOLLO,BUY,34,230.75,2026-02-13,7243763.0
APOLLO,BUY,6,230.75,2026-02-13,7243764.0
BSE,BUY,2,3025.9,2026-02-13,7205057.0
CANBK,BUY,25,141.79,2026-02-13,7110105.0
BSE,SELL,1,3026.5,2026-02-13,7077118.0
HINDCOPPER,SELL,1,590.6,2026-02-13,211533699.0
HINDCOPPER,SELL,59,590.5,2026-02-13,211533700.0
HINDCOPPER,BUY,60,592.5,2026-02-13,211439431.0
CANBK,SELL,20,141.75,2026-02-13,6966078.0
BSE,SELL,1,3023.5,2026-02-13,6961926.0
APOLLO,SELL,29,231.9,2026-02-13,6957793.0
APOLLO,SELL,11,231.85,2026-02-13,6957794.0
CANBK,BUY,25,141.8,2026-02-13,6937332.0
BSE,BUY,1,3024.0,2026-02-13,6896789.0
BSE,BUY,1,3024.0,2026-02-13,6896790.0
APOLLO,BUY,40,231.8,2026-02-13,6827429.0
GOLDCASE,SELL,100,23.99,2026-02-13,209859647.0
GOLDCASE,SELL,146,23.98,2026-02-13,209859648.0
GOLDCASE,SELL,5,23.98,2026-02-13,209859649.0
GOLDCASE,SELL,10,23.98,2026-02-13,209859650.0
GOLDCASE,SELL,39,23.98,2026-02-13,209859651.0
CANBK,SELL,13,141.9,2026-02-13,5975356.0
CANBK,SELL,1,141.9,2026-02-13,5975357.0
CANBK,SELL,6,141.9,2026-02-13,5975358.0
BSE,SELL,1,3023.6,2026-02-13,5972950.0
APOLLO,SELL,40,233.5,2026-02-13,5970608.0
SILVERCASE,SELL,300,24.78,2026-02-13,607791096.0
HINDCOPPER,SELL,10,597.8,2026-02-13,209842368.0
HINDCOPPER,SELL,1,597.8,2026-02-13,209842369.0
HINDCOPPER,SELL,1,597.8,2026-02-13,209842370.0
HINDCOPPER,SELL,1,597.8,2026-02-13,209842371.0
HINDCOPPER,SELL,1,597.8,2026-02-13,209842372.0
HINDCOPPER,SELL,2,597.8,2026-02-13,209842373.0
HINDCOPPER,SELL,1,597.8,2026-02-13,209842374.0
HINDCOPPER,SELL,43,597.75,2026-02-13,209842375.0
TATSILV,SELL,5,23.66,2026-02-13,607786815.0
MOSCHIP,BUY,5,190.9,2026-02-13,9120500.0
MOSCHIP,BUY,5,190.89,2026-02-13,405913727.0
IDEA,BUY,3500,11.34,2026-02-13,208632395.0
HDFCBANK,BUY,5,914.45,2026-02-13,207496533.0
NIFTYBEES,BUY,10,289.49,2026-02-13,404883298.0
ITBEES,SELL,50,35.97,2026-02-13,207480003.0
YESBANK,BUY,200,20.82,2026-02-13,602232742.0
ANGELONE,BUY,1,2694.8,2026-02-13,1057461.0
IDEA,BUY,500,11.44,2026-02-13,201011171.0
WALCHANNAG,BUY,20,174.2,2026-02-12,609403800.0
WALCHANNAG,BUY,20,174.79,2026-02-12,609401566.0
LUMAXTECH,SELL,2,1755.0,2026-02-12,408006910.0
NETWEB,BUY,1,3183.0,2026-02-12,407993322.0
IDEA,SELL,4000,11.55,2026-02-12,210000642.0
YESBANK,BUY,995,21.1,2026-02-12,608849147.0
YESBANK,BUY,5,21.1,2026-02-12,608847167.0
BHARATFORG,BUY,1,1746.6,2026-02-12,5981640.0
SCI,BUY,30,275.37,2026-02-12,600862369.0
IDEA,BUY,4000,11.36,2026-02-12,200842995.0
LUMAXTECH,BUY,1,1714.7,2026-02-11,401554575.0
MOTHERSON,BUY,1,135.22,2026-02-11,401547312.0
ANGELONE,BUY,1,2784.2,2026-02-10,5796611.0
LUMAXTECH,BUY,1,1591.0,2026-02-10,406751476.0
MOTHERSON,BUY,1,129.3,2026-02-10,406737817.0
YESBANK,BUY,1,21.59,2026-02-09,606933981.0
IDEA,SELL,4000,11.54,2026-02-09,203467361.0
YESBANK,SELL,1000,21.63,2026-02-09,603376468.0
DATAPATTNS,SELL,1,2766.7,2026-02-09,201273234.0
DATAPATTNS,SELL,4,2766.7,2026-02-09,201273235.0
DATAPATTNS,SELL,2,2766.7,2026-02-09,201273236.0
SCI,BUY,20,251.03,2026-02-09,600662364.0
DATAPATTNS,BUY,2,2580.0,2026-02-06,202430113.0
UNICHEMLAB,SELL,5,436.0,2026-02-05,610107054.0
UNICHEMLAB,BUY,5,435.35,2026-02-05,609908064.0
YESBANK,BUY,1000,21.2,2026-02-05,608210991.0
MTARTECH,SELL,5,3228.0,2026-02-05,402227892.0
AVALON,BUY,25,972.0,2026-02-05,1256027.0
AVALON,BUY,2,972.0,2026-02-05,1256028.0
AVALON,BUY,3,968.0,2026-02-05,1192061.0
METROPOLIS,BUY,3,1920.0,2026-02-05,400828992.0
AVALON,BUY,1,1018.8,2026-02-05,399134.0
AVALON,BUY,3,1018.85,2026-02-05,399135.0
AVALON,BUY,26,1019.0,2026-02-05,399136.0
IDEA,BUY,1000,11.32,2026-02-04,211463396.0
WALCHANNAG,BUY,25,183.0,2026-02-04,611277396.0
IDEA,BUY,2000,11.35,2026-02-04,210854623.0
KERNEX,BUY,30,1190.0,2026-02-04,407761153.0
IDEA,BUY,681,11.32,2026-02-04,205627612.0
IDEA,BUY,319,11.32,2026-02-04,205627613.0
IDEA,BUY,1,11.44,2026-02-04,202943995.0
BSE,SELL,34,2885.5,2026-02-04,788995.0
WALCHANNAG,BUY,30,186.0,2026-02-03,613488168.0
IDEA,SELL,3000,11.4,2026-02-03,211959741.0
MON100,BUY,20,231.82,2026-02-03,407734587.0
AVALON,SELL,5,1022.7,2026-02-03,1586380.0
ITBEES,BUY,50,41.94,2026-02-02,212812125.0
GOLDBEES,BUY,25,118.39,2026-02-02,212384611.0
NETWEB,BUY,1,3310.0,2026-02-02,402901427.0
WALCHANNAG,BUY,5,186.0,2026-02-01,608322611.0
APOLLO,BUY,20,253.25,2026-02-01,5458698.0
BSE,BUY,10,2600.0,2026-02-01,4903387.0
BSE,BUY,10,2571.2,2026-02-01,4727562.0
KERNEX,BUY,2,1233.8,2026-02-01,404736484.0
KERNEX,BUY,11,1233.8,2026-02-01,404736485.0
KERNEX,BUY,7,1233.9,2026-02-01,404736486.0
KERNEX,SELL,4,1221.3,2026-02-01,404642705.0
KERNEX,SELL,16,1221.3,2026-02-01,404642706.0
BSE,BUY,9,2500.0,2026-02-01,4265458.0
KERNEX,BUY,1,1200.0,2026-02-01,404157052.0
APOLLO,BUY,20,252.0,2026-02-01,3642713.0
IDEA,BUY,1000,10.8,2026-02-01,206669520.0
BSE,BUY,1,2517.3,2026-02-01,3455625.0
MTARTECH,BUY,2,2972.0,2026-02-01,402902991.0
MTARTECH,BUY,3,2972.0,2026-02-01,402902994.0
DATAPATTNS,BUY,5,2672.0,2026-02-01,205409931.0
IDEA,BUY,2000,10.8,2026-02-01,200624468.0
IDEA,SELL,4000,11.12,2026-01-30,214118452.0
MOSCHIP,SELL,5,203.01,2026-01-30,401882311.0
SILVERCASE,BUY,100,36.29,2026-01-30,602881640.0
GOLDCASE,BUY,100,27.06,2026-01-30,202793272.0
HINDCOPPER,BUY,20,712.25,2026-01-30,202582500.0
AVALON,BUY,5,840.0,2026-01-30,807073.0
GRSE,BUY,10,2591.4,2026-01-29,210671379.0
SILVERCASE,BUY,200,37.75,2026-01-29,608744780.0
GOLDCASE,BUY,200,27.67,2026-01-29,209981633.0
PNB,BUY,20,124.49,2026-01-29,404513716.0
CANBK,BUY,20,157.74,2026-01-29,3761883.0
HINDCOPPER,BUY,20,728.9,2026-01-29,204937861.0
KERNEX,BUY,13,1214.2,2026-01-29,402594636.0
KERNEX,BUY,7,1214.2,2026-01-29,402594001.0
HINDCOPPER,BUY,20,741.0,2026-01-29,203555055.0
TATASTEEL,SELL,5,193.8,2026-01-28,606739196.0
GOLDBEES,SELL,5,135.38,2026-01-28,205985891.0
MOSCHIP,SELL,5,184.25,2026-01-28,19379700.0
MOSCHIP,SELL,2,184.38,2026-01-28,404225147.0
MOSCHIP,SELL,1,184.38,2026-01-28,404225148.0
MOSCHIP,SELL,2,184.33,2026-01-28,404225149.0
MICEL-B,SELL,5,38.64,2026-01-28,2759500.0
MOSCHIP,BUY,5,173.71,2026-01-28,400020926.0
TATASTEEL,BUY,5,193.49,2026-01-28,600006791.0
TATSILV,BUY,5,28.43,2026-01-22,605471084.0
TATASTEEL,SELL,5,188.59,2026-01-22,605462687.0
GOLDBEES,BUY,5,124.2,2026-01-22,204132868.0
TATASTEEL,BUY,5,181.6,2026-01-21,606323760.0
MOSCHIP,BUY,5,175.45,2026-01-21,9115500.0
MOSCHIP,BUY,5,175.43,2026-01-21,404380241.0
MICEL-B,BUY,5,34.08,2026-01-21,3770100.0
EMBASSY,BUY,1,438.78,2026-01-20,1207300.0
IDEA,BUY,2000,10.1,2026-01-20,211293622.0
BIRET,BUY,1,344.8,2026-01-20,1120500.0
IDEA,BUY,1000,10.82,2026-01-16,210744208.0
IDEA,BUY,500,11.25,2026-01-12,201281289.0
BAJFINANCE,BUY,5,970.0,2026-01-09,2926644.0
IDEA,BUY,500,11.4,2026-01-05,207395725.0
DIXON,BUY,1,12105.0,2026-01-05,207193947.0
BSE,BUY,5,2688.5,2026-01-05,3918406.0
,,0,,,
,,0,,,
,,0,,,
,,0,,,
DATAPATTNS,BUY,11,4801.0,2026-06-19,206683390.0
MTARTECH,BUY,4,8406.0,2026-06-19,402801302.0
AVALON,BUY,60,1745.0,2026-06-19,2004913.0
MTARTECH,BUY,4,8500.0,2026-06-19,402264967.0
DATAPATTNS,SELL,11,4920.0,2026-06-19,202342198.0
IDEA,BUY,1134,14.94,2026-06-19,202105295.0
IDEA,BUY,866,14.94,2026-06-19,202105296.0
AVALON,SELL,56,1787.0,2026-06-19,713169.0
MTARTECH,SELL,4,8670.0,2026-06-19,400841856.0
YESBANK,BUY,1000,25.4,2026-06-19,600808236.0
AVALON,BUY,5,1740.0,2026-06-18,1608452.0
VOGL,SELL,3,31.8,2026-06-18,601749343.0
VISL,SELL,3,24.37,2026-06-18,601736537.0
VEDPOWER,SELL,3,41.97,2026-06-18,601725115.0
VAML,SELL,3,469.02,2026-06-18,601711028.0
DATAPATTNS,BUY,1,4730.0,2026-06-18,201321734.0
DATAPATTNS,BUY,5,4735.0,2026-06-18,201317737.0
DATAPATTNS,BUY,5,4788.7,2026-06-18,201032881.0
IDEA,BUY,200,14.94,2026-06-18,200768528.0
IDEA,BUY,800,14.94,2026-06-18,200768635.0
YESBANK,BUY,500,25.17,2026-06-18,600162586.0
IDEA,SELL,7000,14.9,2026-06-17,210760729.0
DATAPATTNS,SELL,1,4756.1,2026-06-17,208399073.0
DATAPATTNS,SELL,5,4756.0,2026-06-17,208399074.0
DATAPATTNS,SELL,3,4756.0,2026-06-17,208399075.0
BSE,BUY,3,4005.0,2026-06-17,5288743.0
BSE,BUY,2,4005.0,2026-06-17,5288744.0
BSE,BUY,10,4051.0,2026-06-17,3070381.0
SBIN,SELL,10,1016.0,2026-06-17,601891437.0
YESBANK,SELL,500,24.6,2026-06-17,601685174.0
KERNEX,SELL,11,2090.0,2026-06-17,401247320.0
DIXON,SELL,1,12570.0,2026-06-17,200757010.0
APOLLO,SELL,90,436.0,2026-06-16,6926381.0
YESBANK,BUY,500,23.55,2026-06-16,606826301.0
KERNEX,BUY,10,2022.0,2026-06-16,401614658.0
AVALON,BUY,7,1749.2,2026-06-16,293190.0
AVALON,BUY,9,1749.2,2026-06-16,293191.0
AVALON,BUY,1,1749.3,2026-06-16,293192.0
AVALON,BUY,33,1749.4,2026-06-16,293193.0
KERNEX,BUY,1,2036.3,2026-06-15,409352439.0
WALCHANNAG,BUY,10,267.0,2026-06-15,603644194.0
KERNEX,SELL,2,1995.0,2026-06-12,406457162.0
YESBANK,SELL,1000,22.81,2026-06-12,604805379.0
BHEL,SELL,4,374.45,2026-06-12,3410842.0
WALCHANNAG,SELL,180,257.0,2026-06-12,603278523.0
AVALON,SELL,50,1640.0,2026-06-12,3189619.0
WALCHANNAG,BUY,100,238.0,2026-06-11,605582536.0
BSE,BUY,3,3890.0,2026-06-11,4894334.0
KERNEX,BUY,2,1904.0,2026-06-11,404709373.0
YESBANK,BUY,300,22.41,2026-06-11,603254429.0
YESBANK,BUY,359,22.41,2026-06-11,603254439.0
MTARTECH,BUY,2,6810.0,2026-06-11,402150673.0
APOLLO,BUY,40,399.6,2026-06-10,6917595.0
WALCHANNAG,BUY,40,243.0,2026-06-10,607630497.0
DATAPATTNS,BUY,2,4355.0,2026-06-10,209245102.0
ROSSTECH,BUY,40,1013.0,2026-06-10,606783680.0
LUMAXTECH,SELL,1,1649.8,2026-06-10,405469161.0
COCHINSHIP,BUY,1,1429.3,2026-06-10,4801676.0
CUB,BUY,4,253.25,2026-06-10,4777988.0
CUB,BUY,5,253.25,2026-06-10,4777989.0
CUB,BUY,2,253.25,2026-06-10,4777990.0
CUB,BUY,4,253.3,2026-06-10,4777991.0
AVALON,BUY,5,1600.0,2026-06-10,1249292.0
AVALON,BUY,18,1600.6,2026-06-10,1249293.0
AVALON,BUY,15,1600.7,2026-06-10,1249294.0
AVALON,BUY,2,1601.0,2026-06-10,1249295.0
AVALON,BUY,2,1601.2,2026-06-10,1249296.0
AVALON,BUY,2,1601.4,2026-06-10,1249297.0
AVALON,BUY,1,1601.9,2026-06-10,1249298.0
AVALON,BUY,4,1601.9,2026-06-10,1249299.0
AVALON,BUY,1,1602.0,2026-06-10,1249300.0
WALCHANNAG,BUY,40,244.0,2026-06-10,601253432.0
IDEA,BUY,400,13.89,2026-06-10,201304285.0
DATAPATTNS,BUY,2,4452.2,2026-06-10,201224832.0
YESBANK,BUY,150,23.39,2026-06-09,608279399.0
WALCHANNAG,SELL,100,255.0,2026-06-09,607877228.0
IDEA,BUY,119,14.18,2026-06-09,207777455.0
IDEA,BUY,1,14.18,2026-06-09,207777456.0
IDEA,BUY,1,14.18,2026-06-09,207777457.0
IDEA,BUY,1,14.18,2026-06-09,207777458.0
IDEA,BUY,1,14.18,2026-06-09,207777459.0
IDEA,BUY,1,14.18,2026-06-09,207777460.0
IDEA,BUY,1,14.18,2026-06-09,207777461.0
IDEA,BUY,1,14.18,2026-06-09,207777462.0
IDEA,BUY,3,14.18,2026-06-09,207777463.0
IDEA,BUY,1,14.18,2026-06-09,207777464.0
IDEA,BUY,1,14.18,2026-06-09,207777465.0
IDEA,BUY,1,14.18,2026-06-09,207777466.0
