Trade Date,Exchange,Buy / Sell,Scrip / Contract,Qty,Price,Trade Id,symbol,side,qty,price
29-01-2026,NSEEQ,Buy,CANBK-EQ,20.0,157.74,3761883.0,CANBK,BUY,20,157.74
01-02-2026,NSEEQ,Buy,DATAPATTNS-EQ,5.0,2672.0,205409931.0,DATAPATTNS,BUY,5,2672.0
06-02-2026,NSEEQ,Buy,DATAPATTNS-EQ,2.0,2580.0,202430113.0,DATAPATTNS,BUY,2,2580.0
09-02-2026,NSEEQ,Sell,DATAPATTNS-EQ,1.0,2766.7,201273234.0,DATAPATTNS,SELL,1,2766.7
09-02-2026,NSEEQ,Sell,DATAPATTNS-EQ,4.0,2766.7,201273235.0,DATAPATTNS,SELL,4,2766.7
09-02-2026,NSEEQ,Sell,DATAPATTNS-EQ,2.0,2766.7,201273236.0,DATAPATTNS,SELL,2,2766.7
05-01-2026,NSEEQ,Buy,DIXON-EQ,1.0,12105.0,207193947.0,DIXON,BUY,1,12105.0
20-01-2026,BSEEQ,Buy,EMBASSY-IF,1.0,438.78,1207300.0,EMBASSY-IF,BUY,1,438.78
13-02-2026,NSEEQ,Sell,GOLDCASE-EQ,100.0,23.99,209859647.0,GOLDCASE,SELL,100,23.99
13-02-2026,NSEEQ,Sell,GOLDCASE-EQ,146.0,23.98,209859648.0,GOLDCASE,SELL,146,23.98
13-02-2026,NSEEQ,Sell,GOLDCASE-EQ,5.0,23.98,209859649.0,GOLDCASE,SELL,5,23.98
13-02-2026,NSEEQ,Sell,GOLDCASE-EQ,10.0,23.98,209859650.0,GOLDCASE,SELL,10,23.98
13-02-2026,NSEEQ,Sell,GOLDCASE-EQ,39.0,23.98,209859651.0,GOLDCASE,SELL,39,23.98
29-01-2026,NSEEQ,Buy,GOLDCASE-EQ,200.0,27.67,209981633.0,GOLDCASE,BUY,200,27.67
30-01-2026,NSEEQ,Buy,GOLDCASE-EQ,100.0,27.06,202793272.0,GOLDCASE,BUY,100,27.06
16-02-2026,NSEEQ,Buy,GRSE-EQ,10.0,2430.0,209048482.0,GRSE,BUY,10,2430.0
29-01-2026,NSEEQ,Buy,GRSE-EQ,10.0,2591.4,210671379.0,GRSE,BUY,10,2591.4
13-02-2026,NSEEQ,Buy,HINDCOPPER-EQ,60.0,589.4,211921128.0,HINDCOPPER,BUY,60,589.4
13-02-2026,NSEEQ,Sell,HINDCOPPER-EQ,1.0,590.6,211533699.0,HINDCOPPER,SELL,1,590.6
13-02-2026,NSEEQ,Sell,HINDCOPPER-EQ,59.0,590.5,211533700.0,HINDCOPPER,SELL,59,590.5
13-02-2026,NSEEQ,Buy,HINDCOPPER-EQ,60.0,592.5,211439431.0,HINDCOPPER,BUY,60,592.5
13-02-2026,NSEEQ,Sell,HINDCOPPER-EQ,10.0,597.8,209842368.0,HINDCOPPER,SELL,10,597.8
13-02-2026,NSEEQ,Sell,HINDCOPPER-EQ,1.0,597.8,209842369.0,HINDCOPPER,SELL,1,597.8
13-02-2026,NSEEQ,Sell,HINDCOPPER-EQ,1.0,597.8,209842370.0,HINDCOPPER,SELL,1,597.8
13-02-2026,NSEEQ,Sell,HINDCOPPER-EQ,1.0,597.8,209842371.0,HINDCOPPER,SELL,1,597.8
