symbol,sell_date,buy_dates,qty,sell_price,pnl,pnl_pct
NETWEB,19-02-2026,16-02-2026,2,3520.0,897.5,14.61131461131461
NETWEB,20-02-2026,UNKNOWN (Orphan),3,3530.0,0.0,0.0
PNB,23-02-2026,02-03-2026,1,132.29,7.589999999999989,6.0866078588612575
PNB,23-02-2026,02-03-2026,19,132.25,143.44999999999993,6.054530874097831
SILVERCASE,13-02-2026,UNKNOWN (Orphan),300,24.78,0.0,0.0
TATASTEEL,22-01-2026,21-01-2026,5,188.59,34.950000000000045,3.8491189427312826
TATASTEEL,28-01-2026,UNKNOWN (Orphan),5,193.8,0.0,0.0
TATSILV,13-02-2026,UNKNOWN (Orphan),5,23.66,0.0,0.0
UNICHEMLAB,05-02-2026,UNKNOWN (Orphan),5,436.0,0.0,0.0
WALCHANNAG,16-02-2026,"03-02-2026, 01-02-2026, 04-02-2026",54,168.37,-895.0199999999998,-8.961850405527183
WALCHANNAG,16-02-2026,"12-02-2026, 04-02-2026",33,168.32,-250.96999999999994,-4.322947258906593
WALCHANNAG,16-02-2026,12-02-2026,13,168.32,-84.10999999999999,-3.701584758853481
YESBANK,09-02-2026,02-03-2026,1000,21.63,1609.9999999999995,8.04195804195804
