id,timestamp,symbol,exchange,action,quantity,price,gross_amount,brokerage_fee,stt_fee,exchange_fee,gst_fee,sebi_fee,stamp_duty_fee,total_fees,net_amount,strategy,pnl_gross,pnl_net,pnl_pct_gross,pnl_pct_net,reason,broker,source,entry_timestamp,hold_duration_days,rsi,market_trend,atr,adx,macd_val,macd_signal,macd_hist
1,2026-01-21T14:11:01.714756,MICEL,BSE,BUY,5,34.02,170.1,20.0,0.0,0.01,3.6,0.0,0.03,23.63,193.73,RSI,,,,,RSI-based BUY,mstock,BOT,,,,,,,,,
2,2026-01-21T14:11:13.842168,MOSCHIP,NSE,BUY,5,175.5,877.5,20.0,0.0,0.03,3.6,0.0,0.13,23.76,901.26,RSI,,,,,RSI-based BUY,mstock,BOT,,,,,,,,,
3,2026-01-21T14:11:31.443023,MOSCHIP,BSE,BUY,5,175.5,877.5,20.0,0.0,0.03,3.6,0.0,0.13,23.76,901.26,RSI,,,,,RSI-based BUY,mstock,BOT,,,,,,,,,
4,2026-01-21T14:11:58.041756,TATASTEEL,NSE,BUY,5,181.51,907.55,20.0,0.0,0.03,3.6,0.0,0.14,23.77,931.32,RSI,,,,,RSI-based BUY,mstock,BOT,,,,,,,,,
5,2026-01-22T13:13:19.979370,GOLDBEES,NSE,BUY,5,124.16,620.8,20.0,0.0,0.02,3.6,0.0,0.09,23.72,644.52,RSI,,,,,RSI-based BUY,mstock,BOT,,,,,,,,,
6,2026-01-22T13:13:29.969447,TATASTEEL,NSE,SELL,5,188.6,943.0,20.0,0.94,0.03,3.6,0.0,0.0,24.58,918.42,RSI,35.45000000000002,-12.900000000000063,3.9061208748829284,-1.3851307821157133,RSI-based SELL,mstock,BOT,,,,,,,,,
7,2026-01-22T13:13:50.942788,TATSILV,NSE,BUY,5,28.39,141.95,20.0,0.0,0.0,3.6,0.0,0.02,23.63,165.58,RSI,,,,,RSI-based BUY,mstock,BOT,,,,,,,,,
8,2026-01-27T22:29:56.045317,TATSILV,NSE,SELL,5,32.52,162.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.60000000000002,RSI (Paper),20.650000000000013,-2.9799999999999827,14.547375836562178,-1.7997342674235917,Paper Trade SELL,PAPER,BOT,,,0.0,,,,,,
9,2026-01-27T22:29:56.078903,TATSILV,NSE,SELL,5,32.52,162.6,20.0,0.16,0.01,3.6,0.0,0.0,23.77,138.83,RSI,20.650000000000013,-26.74999999999999,14.547375836562178,-16.155332769658166,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
10,2026-01-27T23:15:28.422520,MICEL,BSE,BUY,5,35.72,178.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.6,RSI (Paper),,,,,Paper Trade BUY,PAPER,BOT,,,0.0,,,,,,
11,2026-01-27T23:15:28.446951,MICEL,BSE,BUY,5,35.72,178.6,20.0,0.0,0.01,3.6,0.0,0.03,23.63,202.23,RSI,,,,,RSI-based BUY,mstock,BOT,,,0.0,,,,,,
12,2026-01-27T23:15:52.408347,MOSCHIP,NSE,BUY,5,170.3,851.5,20.0,0.0,0.03,3.6,0.0,0.13,23.76,875.26,RSI,,,,,RSI-based BUY,mstock,BOT,,,0.0,,,,,,
13,2026-01-27T23:16:55.193258,TATASTEEL,NSE,BUY,5,192.28,961.4,20.0,0.0,0.03,3.6,0.0,0.14,23.78,985.18,RSI,,,,,RSI-based BUY,mstock,BOT,,,0.0,,,,,,
14,2026-01-28T14:24:54.165050,MICEL,BSE,SELL,5,38.8,194.0,20.0,0.19,0.01,3.6,0.0,0.0,23.8,170.2,RSI,15.399999999999991,-32.029999999999994,8.622620380739077,-15.83840181971023,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
