Ticker,Price (₹),Sentiment,Order Win?,Action,Top Headline,Last Updated
HAL.NS,4570.1,0,NO,⏳ WATCH,Error: 'title',2026-01-28 17:02:27
BEL.NS,453.4,0,NO,⏳ WATCH,Error: 'title',2026-01-28 17:02:30
LT.NS,3776.6,0,NO,⏳ WATCH,Error: 'title',2026-01-28 17:02:32
RVNL.NS,340.25,0,NO,⏳ WATCH,Error: 'title',2026-01-28 17:02:34
JUPITERWAGONS.NS,N/A,0,NO,⚠️ ERROR,Error: 'currentTradingPeriod',2026-01-28 17:02:42
